alert_id,shown_at,condition,delay_threshold,corrected,latency,correction_time
1,1781894395.735,adaptive,5.0,False,,
2,1781894404.063,adaptive,4.55,False,,
3,1781894412.402,adaptive,4.14,False,,
4,1781894420.682,adaptive,3.77,True,6.25,1781894426.934
5,1781894433.129,adaptive,3.6,True,4.09,1781894437.218
6,1781894443.459,adaptive,3.44,False,,
7,1781894451.707,adaptive,3.13,True,6.34,1781894458.045
8,1781894468.413,adaptive,2.99,False,,
9,1781894476.7,adaptive,2.72,True,4.17,1781894480.866
10,1781894532.717,adaptive,2.6,True,4.16,1781894536.881
11,1781894545.213,adaptive,2.48,False,,
12,1781894553.541,adaptive,2.26,True,2.09,1781894555.629
13,1781894582.534,adaptive,2.29,True,6.25,1781894588.78
14,1781894599.061,adaptive,2.19,False,,
15,1781894607.399,adaptive,2.0,False,,
16,1781894615.719,adaptive,2.0,False,,
17,1781894624.046,adaptive,2.0,False,,
18,1781894632.336,adaptive,2.0,False,,
19,1781894640.597,adaptive,2.0,False,,
20,1781894648.882,adaptive,2.0,True,4.16,1781894653.042
